generation_technology	g_dbid	g_unit_size	g_max_age	g_scheduled_outage_rate	g_forced_outage_rate	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_competes_for_space	g_variable_o_m	g_energy_source	g_full_load_heat_rate
AES_Coal_180_MW_ST	AES_Coal_180_MW_ST	180.0	62.0	0.0	0.01	0	0	0	0	0	4.47	multiple	10.1069046473
CC_152	CC_152	152.0	30.0	0.05	0.016	0	0	0	0	0	4.49	multiple	7.114
CC_383	CC_383	383.0	30.0	0.05	0.016	0	0	0	0	0	4.49	multiple	6.965
CIP_Biodiesel_113_MW_GT	CIP_Biodiesel_113_MW_GT	113.0	45.0	0.0	0.04	0	0	0	0	0	4.935	multiple	18.6266598806
CT_100	CT_100	100.0	30.0	0.05	0.016	0	0	0	0	0	12.99	multiple	10.849
CentralTrackingPV	CentralTrackingPV	.	25.0	0.0	0.0	1	0	0	0	0	0.0	SUN	.
Chevron_LSFO_3.2_MW_GT_cogen	Chevron_LSFO_3.2_MW_GT_cogen	3.2	43.0	0.358355715588	0.04	0	1	0	1	0	4.935	multiple	5.62349004372
Chevron_LSFO_3_MW_GT_cogen	Chevron_LSFO_3_MW_GT_cogen	3.0	64.0	0.164655600972	0.04	0	1	0	1	0	4.935	multiple	5.62347206602
DistPV	DistPV	.	25.0	0.0	0.0	1	0	0	0	0	0.0	SUN	.
HPower_MLG_60_MW_ST	HPower_MLG_60_MW_ST	60.0	65.0	0.0	0.04	0	0	0	0	0	6.1425	MSW	.
Honolulu_LSFO_48.6_MW_ST	Honolulu_LSFO_48.6_MW_ST	48.6	62.0	0.0	0.04	0	0	0	0	0	8.19	multiple	14.1906747143
Honolulu_LSFO_51.7_MW_ST	Honolulu_LSFO_51.7_MW_ST	51.7	59.0	0.0	0.04	0	0	0	0	0	8.19	multiple	14.1906747143
IC_Barge	IC_Barge	100.0	30.0	0.02	0.02	0	0	0	0	0	20.96	multiple	8.507
IC_MCBH	IC_MCBH	27.0	30.0	0.02	0.02	0	0	0	0	0	20.96	multiple	8.575
IC_Schofield	IC_Schofield	54.0	30.0	0.02	0.02	0	0	0	0	0	20.96	multiple	8.894
Kahe_LSFO_128.1_MW_ST	Kahe_LSFO_128.1_MW_ST	128.1	80.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047
Kahe_LSFO_128.7_MW_ST	Kahe_LSFO_128.7_MW_ST	128.7	73.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047
Kahe_LSFO_77.9_MW_ST	Kahe_LSFO_77.9_MW_ST	77.9	57.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047
Kahe_LSFO_78.1_MW_ST	Kahe_LSFO_78.1_MW_ST	78.1	56.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047
Kahe_LSFO_82.1_MW_ST	Kahe_LSFO_82.1_MW_ST	82.1	50.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047
Kahe_LSFO_87.2_MW_ST	Kahe_LSFO_87.2_MW_ST	87.2	50.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.2377364047
Kahuku_30_MW_WT	Kahuku_30_MW_WT	30.0	43.0	0.0	0.05	1	0	0	0	0	0.0	WND	.
Kalaeloa_107_MW_CC_cogen	Kalaeloa_107_MW_CC_cogen	107.0	65.0	0.264210952392	0.04	0	0	0	0	0	6.1425	multiple	8.645
Kalaeloa_5_MW_PV	Kalaeloa_5_MW_PV	5.0	42.0	0.0	0.01	1	0	0	0	0	0.0	SUN	.
Kawailoa_69_MW_WT	Kawailoa_69_MW_WT	69.0	42.0	0.0	0.05	1	0	0	0	0	0.0	WND	.
OffshoreWind	OffshoreWind	.	25.0	0.0	0.0	1	0	0	0	0	0.0	WND	.
OnshoreWind	OnshoreWind	.	25.0	0.0	0.0	1	0	0	0	0	0.0	WND	.
Solar_210_MW_PV	Solar_210_MW_PV	210.0	41.0	0.0	0.01	1	0	0	0	0	0.0	SUN	.
Tesoro_LSFO_20_MW_GT_cogen	Tesoro_LSFO_20_MW_GT_cogen	20.0	72.0	0.185430947964	0.04	0	1	0	1	0	4.935	multiple	4.34567610209
Waiau_High-Sulfur-Diesel_51.2_MW_GT	Waiau_High-Sulfur-Diesel_51.2_MW_GT	51.2	81.0	0.0	0.04	0	0	0	0	0	4.935	multiple	19.0488633949
Waiau_LSFO_47.2_MW_ST	Waiau_LSFO_47.2_MW_ST	47.2	75.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363
Waiau_LSFO_47.7_MW_ST	Waiau_LSFO_47.7_MW_ST	47.7	72.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363
Waiau_LSFO_51.8_MW_ST	Waiau_LSFO_51.8_MW_ST	51.8	63.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363
Waiau_LSFO_51.9_MW_ST	Waiau_LSFO_51.9_MW_ST	51.9	65.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363
Waiau_LSFO_77.8_MW_ST	Waiau_LSFO_77.8_MW_ST	77.8	64.0	0.0	0.04	0	0	0	0	0	8.19	multiple	10.0552906363
